2026-04-08 21:06:20.024 | INFO     | __main__:main:605 | Logging to loga.log
2026-04-08 21:06:37.115 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-08 21:06:37.115 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0000 (2 bytes)
2026-04-08 21:06:37.169 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0000(0x)
2026-04-08 21:06:37.228 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x00\x00hG4P658887a\x01\xbc*p\x94\xdd\xf8\x1aK\xe8\x00d\x00e\x02\x01\x01\xe8\x03\xe8\x03\x01\x00\x00\x00\x00\x00888R0050201')
2026-04-08 21:06:37.228 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-08 21:06:37.228 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_INFO(0x) -> 0x000000684734503635383838376101bc2a7094ddf81a4be800640065020101e803e8030100000000003838385230303530323031
2026-04-08 21:06:37.232 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:37.232 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:06:37.286 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0001(0x)
2026-04-08 21:06:37.346 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:06:37.347 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:37.347 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:06:38.350 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:38.351 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:06:38.396 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0001(0x)
2026-04-08 21:06:38.456 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:06:38.457 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:38.457 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:06:39.459 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-08 21:06:39.460 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0708 (2 bytes)
2026-04-08 21:06:39.506 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0708(0x)
2026-04-08 21:06:40.707 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x07\x08\x00')
2026-04-08 21:06:40.707 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-08 21:06:40.707 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.DELETE_EMBROIDERY(0x) -> 0x070800
2026-04-08 21:06:40.707 | SUCCESS  | sendpp1.core.machine:delete_emboridery:746 | Embroidery deletition completed successfully
2026-04-08 21:06:40.710 | DEBUG    | sendpp1.core.machine:max_size_packet:609 | Data chunk size=500
2026-04-08 21:06:40.710 | INFO     | sendpp1.core.machine:transfer:798 | Starting transfer: 1584 bytes, checksum=0x757E, chunk_size=500, chunks=4
2026-04-08 21:06:40.710 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-08 21:06:40.710 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x120003300600007e75 (9 bytes)
2026-04-08 21:06:40.766 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 1200(0x03300600007e75)
2026-04-08 21:06:41.968 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x12\x00\x00')
2026-04-08 21:06:41.968 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-08 21:06:41.968 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.PREPARE_TRANSFER(0x03300600007e75) -> 0x120000
2026-04-08 21:06:41.968 | SUCCESS  | sendpp1.core.machine:prepare_transfer:790 | Prepare transfer OK — machine expects 1584 bytes, checksum 0x757E
2026-04-08 21:06:42.070 | DEBUG    | sendpp1.core.machine:transfer:822 | First data packet hex (505 bytes): 00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000fe
2026-04-08 21:06:42.070 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-08 21:06:42.070 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x120100000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000fe (507 bytes)
2026-04-08 21:06:42.148 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 1201(0x00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000fe)
2026-04-08 21:06:42.207 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x12\x01\x02\xf4\x01\x00\x00')
2026-04-08 21:06:42.207 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-08 21:06:42.207 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.DATA_PACKET(0x00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000fe) -> 0x120102f4010000
2026-04-08 21:06:42.207 | ERROR    | sendpp1.core.machine:transfer:829 | Data packet 1/4 REJECTED status=2 extra=500 (offset=0, chunk_len=500, csum=0xFE)
2026-04-08 21:06:42.211 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:42.211 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:06:42.266 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0001(0x)
2026-04-08 21:06:42.327 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:06:42.327 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:42.327 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:06:43.329 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:43.329 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:06:43.376 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0001(0x)
2026-04-08 21:06:43.438 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:06:43.438 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:43.438 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:06:44.439 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:44.440 | TRACE    | sendpp1.core.machine:build_cmd:617 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:06:44.486 | TRACE    | sendpp1.core.machine:send:622 | BTSend: 0001(0x)
2026-04-08 21:06:44.548 | TRACE    | sendpp1.core.machine:receive:626 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:06:44.548 | TRACE    | sendpp1.core.machine:to_bytes:262 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:06:44.548 | SUCCESS  | sendpp1.core.machine:machine_request:649 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:14:46.641 | INFO     | __main__:main:605 | Logging to loga.log
2026-04-08 21:14:56.376 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-08 21:14:56.377 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0000 (2 bytes)
2026-04-08 21:14:56.428 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0000(0x)
2026-04-08 21:14:56.487 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x00\x00hG4P658887a\x01\xbc*p\x94\xdd\xf8\x1aK\xe8\x00d\x00e\x02\x01\x01\xe8\x03\xe8\x03\x01\x00\x00\x00\x00\x00888R0050201')
2026-04-08 21:14:56.488 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_INFO(0) to bytearray 0x0000
2026-04-08 21:14:56.488 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_INFO(0x) -> 0x000000684734503635383838376101bc2a7094ddf81a4be800640065020101e803e8030100000000003838385230303530323031
2026-04-08 21:14:56.493 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:14:56.493 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:14:56.547 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:14:56.607 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:14:56.607 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:14:56.607 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:14:57.611 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:14:57.611 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0001 (2 bytes)
2026-04-08 21:14:57.657 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0001(0x)
2026-04-08 21:14:57.717 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x00\x01\x10\x02')
2026-04-08 21:14:57.717 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.MACHINE_STATE(1) to bytearray 0x0001
2026-04-08 21:14:57.717 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.MACHINE_STATE(0x) -> 0x00011002
2026-04-08 21:14:58.720 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-08 21:14:58.721 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x0708 (2 bytes)
2026-04-08 21:14:58.767 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 0708(0x)
2026-04-08 21:14:59.968 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x07\x08\x00')
2026-04-08 21:14:59.968 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.DELETE_EMBROIDERY(1800) to bytearray 0x0708
2026-04-08 21:14:59.968 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.DELETE_EMBROIDERY(0x) -> 0x070800
2026-04-08 21:14:59.968 | SUCCESS  | sendpp1.core.machine:delete_emboridery:764 | Embroidery deletition completed successfully
2026-04-08 21:14:59.971 | DEBUG    | sendpp1.core.machine:max_size_packet:622 | BLE max_write_without_response_size=512, usable data chunk=505
2026-04-08 21:14:59.971 | INFO     | sendpp1.core.machine:transfer:816 | Starting transfer: 1584 bytes, checksum=0x757E, chunk_size=505, chunks=4
2026-04-08 21:14:59.971 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-08 21:14:59.971 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x120003300600007e75 (9 bytes)
2026-04-08 21:15:00.027 | TRACE    | sendpp1.core.machine:send:640 | BTSend: 1200(0x03300600007e75)
2026-04-08 21:15:01.227 | TRACE    | sendpp1.core.machine:receive:644 | BTReceive: 0xbytearray(b'\x12\x00\x00')
2026-04-08 21:15:01.228 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.PREPARE_TRANSFER(4608) to bytearray 0x1200
2026-04-08 21:15:01.228 | SUCCESS  | sendpp1.core.machine:machine_request:667 | MachineCommand.PREPARE_TRANSFER(0x03300600007e75) -> 0x120000
2026-04-08 21:15:01.228 | SUCCESS  | sendpp1.core.machine:prepare_transfer:808 | Prepare transfer OK — machine expects 1584 bytes, checksum 0x757E
2026-04-08 21:15:01.329 | DEBUG    | sendpp1.core.machine:transfer:840 | First data packet hex (510 bytes): 00000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000f80ba001f89a
2026-04-08 21:15:01.330 | TRACE    | sendpp1.core.machine:to_bytes:263 | Converted: MachineCommand.DATA_PACKET(4609) to bytearray 0x1201
2026-04-08 21:15:01.330 | TRACE    | sendpp1.core.machine:build_cmd:635 | build_cmd: 0x120100000000e00733050000730400007004180040043000080418004004000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004780388033803d802f0022002b00268016802b80028020000d801a000880148013801e801e8008802980030035000d003000070045000d00398003003e80088023801e80188014801d801a000280200006802b800b0026801f00220023803d80278038803b8034004a80308049003d003a8030804b8034004b803420410013b021001380250013802880130025001380210013802b001300250022802f002200250022802b001300210013802b001300250022802f0022002b802200278022802b8022002f0022002f00222022806430028064000280678002006b00028067800280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f009700450096804b00860041008580468075004c8065004380678043006c00328061003200658022006a8012006f000280640002006f0002006a80120065802280610033006c00338067804c80650046807500410085804b008600450096804f0097004b809700478096804b8097004f0097004f0097204000c4300000c4000000c7800000cb800000c7800000c4000000cf000f80ba001f89a (512 bytes)
